Ingredients,Classification,Description
Cetearyl Alcohol; SERINE,Safe,none
Retinol; Soybean Oil,Safe,none
Retinyl Palmitate; SODIUM LACTATE,Safe,none
Diethanolamine (DEA); p-phenylenediamine (PPD),Unsafe,none
Iron Oxides; Vitamin B5,Safe,none
Methylparaben; Talc,Unsafe,none
FRUCTOSE; Rose Water,Safe,none
Arsenic; Coal Tar,Unsafe,none
Phenoxyethanol; Silica,Safe,none
Formaldehyde; Parfum,Unsafe,none
Cadmium; Diethanolamine (DEA),Unsafe,none
Ammonium Persulfate; Triclocarban,Unsafe,none
Coal Tar; Diethyl phthalate (DEP),Unsafe,none
Formaldehyde; Propane,Unsafe,none
PCA; SERINE,Safe,none
Sweet Almond Oil; White Tea Extract,Safe,none
Aluminum Chlorohydrate; Phenol,Unsafe,none
Mineral Oil; Paraffin,Safe,none
Methylparaben; Resorcinol,Unsafe,none
ALANINE; HISTIDINE,Safe,none
Retinyl Palmitate; Vitamin B5,Safe,none
ALANINE; Citric Acid,Safe,none
Avocado Oil; Cocamidopropyl Betaine,Safe,none
Calendula Extract; SODIUM LACTATE,Safe,none
DMDM Hydantoin; p-phenylenediamine (PPD),Unsafe,none
BHA; p-phenylenediamine (PPD),Unsafe,none
Formaldehyde; Triclocarban,Unsafe,none
Lactic Acid; Vitamin E,Safe,none
Aluminum Chlorohydrate; Laurate,Unsafe,none
Isobutane; Mercury,Unsafe,none
BHA; Parabens,Unsafe,none
Quaternium-15; Stearate,Unsafe,none
Calendula Extract; Stearyl Alcohol,Safe,none
Nitrosamines; Sodium Laureth Sulfate (SLES),Unsafe,none
Mineral Oil; PROLINE,Safe,none
Lavender Oil; PHENYLALANINE,Safe,none
ISOLEUCINE; Silica,Safe,none
Butylparaben; Methylisothiazolinone,Unsafe,none
Sodium Hyaluronate; UREA,Safe,none
BHT; Isobutane,Unsafe,none
Homosalate; Toluene,Unsafe,none
Diethyl phthalate (DEP); Hydroquinone,Unsafe,none
ARGININE; PCA,Safe,none
Eucalyptus Oil; TREHALOSE,Safe,none
Green Tea Extract; Squalane,Safe,none
MALTOSE; Vitamin E,Safe,none
Green Tea Extract; Tea Tree Oil,Safe,none
Paraffin; Sweet Almond Oil,Safe,none
CAPRYLIC/CAPRIC TRIGLYCERIDE; Calendula Extract,Safe,none
Parfum; Triclocarban,Unsafe,none
Ammonium Persulfate; Sodium Hydroxymethylglycinate,Unsafe,none
Keratin; Retinyl Palmitate,Safe,none
Benzalkonium Chloride; Stearate,Unsafe,none
Cocamide DEA; Lead,Unsafe,none
